molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL281957,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,active,484.4310000000002,6.540920000000006,2.0,6.0,9.397940008672037
CHEMBL207028,NC(=O)c1sc(-c2ccccc2)cc1N,inactive,218.281,2.0962,2.0,3.0,4.82102305270683
CHEMBL386760,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,active,686.8100000000001,6.224840000000006,1.0,12.0,7.0
CHEMBL215943,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,active,535.5700000000004,5.6204200000000055,2.0,6.0,6.2636034977233574
CHEMBL373882,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,inactive,598.605,5.565700000000005,2.0,9.0,4.6020599913279625
CHEMBL230761,Cn1cnc(CNc2cc(Br)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c1,inactive,485.7480000000001,5.750680000000003,2.0,6.0,5.0
CHEMBL233338,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCN,inactive,439.58500000000026,4.242000000000002,2.0,6.0,4.657577319177793
CHEMBL246356,CNc1ncnc(-c2cccnc2Oc2cc(NC(=O)c3cccc(OC(F)(F)C(F)F)c3)ccc2C)n1,inactive,528.4660000000001,5.565020000000003,2.0,8.0,4.6020599913279625
CHEMBL249097,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,active,335.36700000000013,3.07672,4.0,6.0,8.045757490560675
CHEMBL248676,Cc1ccc2[nH]ncc2c1Nc1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1,active,395.44800000000015,2.795919999999999,4.0,7.0,7.161150909262744
CHEMBL398422,Cc1ccc2[nH]ncc2c1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,active,359.39300000000014,3.247419999999999,4.0,6.0,7.013228265733755
