molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL281957,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,active,0.4
CHEMBL207028,NC(=O)c1sc(-c2ccccc2)cc1N,inactive,15100.0
CHEMBL377085,Cc1cc(C)c2c(N)c(C(N)=O)sc2n1,intermediate,4100.0
CHEMBL209148,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,intermediate,4100.0
CHEMBL386760,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,active,100.0
CHEMBL386661,CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4OC4CCN(C)CC4)ccc3C)ccc2n1,intermediate,3330.0
CHEMBL215943,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,active,545.0
CHEMBL373882,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,inactive,25000.0
CHEMBL230761,Cn1cnc(CNc2cc(Br)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c1,inactive,10000.0
CHEMBL233338,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCN,inactive,22000.0
CHEMBL246356,CNc1ncnc(-c2cccnc2Oc2cc(NC(=O)c3cccc(OC(F)(F)C(F)F)c3)ccc2C)n1,inactive,25000.0
CHEMBL249097,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,active,9.0
CHEMBL248676,Cc1ccc2[nH]ncc2c1Nc1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1,active,69.0
CHEMBL398422,Cc1ccc2[nH]ncc2c1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,active,97.0
CHEMBL271190,COC[C@H]1OC(=O)/C(=C/N(CCO)C(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,inactive,10000.0
CHEMBL410643,COC[C@H]1OC(=O)/C(=C/N(C)CCCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,inactive,10000.0
CHEMBL410295,Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n2c3ccccc3nc12,active,410.0
CHEMBL228043,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,inactive,17200.0
CHEMBL228043,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,intermediate,2500.0
CHEMBL3216211,Cl.Cl.NCCNc1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,inactive,15500.0
CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,active,5.0
CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,active,100.0
CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,active,1.3
CHEMBL601719,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,inactive,10000.0
CHEMBL465465,CS(=O)(=O)c1ccc(CNCc2cc(C(=O)O)c(Nc3ccc(I)cc3F)c(F)c2F)cc1,inactive,30000.0
CHEMBL517647,NC(=O)C[C@H](N)C(=O)NCc1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F,inactive,30000.0
CHEMBL481968,O=C(N/N=C/c1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F)c1ccc(CO)o1,intermediate,7000.0
CHEMBL481969,O=C(CS(=O)(=O)c1ccc(Cl)cc1)N/N=C/c1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F,inactive,30000.0
CHEMBL493940,CNc1nc2oc(-c3ccccc3)nc2c2c1ncn2C,inactive,23000.0
CHEMBL522011,CNc1nc2c(nc(-c3ccccc3)n2C)c2c1ncn2C,inactive,14000.0
CHEMBL454973,CNc1nc2sc(-c3cccc(CNC(C)=O)c3)nc2c2c1ncn2C,inactive,17000.0
